,curso_academico,codigo_universidad,nombre_universidad,codigo_tipo_estudio,nombre_tipo_estudio,codigo_tipo_unidad_responsable,nombre_tipo_unidad_responsable,codigo_unidad_responsable,nombre_unidad_responsable,codigo_titulacion,nombre_titulacion,codigo_rama,descripcion_rama,codigo_interuniversitario,descripcion_interuniversitario,codigo_rol_coordinacion,descripcion_rol_coordinacion,codigo_impartido,descripcion_impartido,anio_inicio,codigo_situacion_actual,descripcion_situacion_actual,codigo_presencialidad,descripcion_grado_presencialidad,codigo_idioma_extranjero,descripcion_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,numero_creditos_ofertados
13,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2502139 ,Graduado o Graduada en Ingeniería Agroambiental por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
14,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2503450 ,Graduado o Graduada en Ingeniería Alimentaria por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2017,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
15,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2502140 ,Graduado o Graduada en Ingeniería Alimentaria por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,3,En proceso de extincion,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
16,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026951 ,Escuela Técnica Superior de Ingenieros de Telecomunicación,2502647 ,Graduado o Graduada en Ingeniería Biomédica por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2011,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
17,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026791 ,Escuela Técnica Superior de Ingeniería Civil,2502141 ,Graduado o Graduada en Ingeniería Civil por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
18,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026900 ,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",2503010 ,Graduado o Graduada en Ingeniería Civil por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2014,3,En proceso de extincion,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
19,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026900 ,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",2502142 ,Graduado o Graduada en Ingeniería Civil y Territorial por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,8888,1,Activo, , ,None,None, , , , , , ,240, 
20,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,2500497 ,Graduado o Graduada en Ingeniería de Computadores por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
21,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,2503027 ,Graduado o Graduada en Ingeniería de Computadores por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2014,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
22,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026924 ,Escuela Técnica Superior de Ingenieros de Minas y Energía,2502494 ,Graduado o Graduada en Ingeniería de la Energía por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
23,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026811 ,"Escuela Técnica Superior de Ingenieros en Topografía, Geodesia y Cartografía",2503426 ,Graduado o Graduada en Ingeniería de las Tecnologías de la Información Geoespacial por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2016,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
24,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026924 ,Escuela Técnica Superior de Ingenieros de Minas y Energía,2502143 ,"Graduado o Graduada en Ingeniería de los Recursos Energéticos, Combustibles y Explosivos por la Universidad Politécnica de Madrid  ",4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,8888,1,Activo, , ,None,None, , , , , , ,240, 
25,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026900 ,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",2500738 ,Graduado o Graduada en Ingeniería de Materiales por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2018,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
26,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026912 ,Escuela Técnica Superior de Ingenieros Industriales,2502401 ,Graduado o Graduada en Ingeniería de Organización por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
27,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026808 ,Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,2500736 ,Graduado o Graduada en Ingeniería de Sistemas de Telecomunicación por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
28,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026808 ,Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,2500396 ,Graduado o Graduada en Ingeniería de Sonido e Imagen por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
29,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026951 ,Escuela Técnica Superior de Ingenieros de Telecomunicación,2502144 ,Graduado o Graduada en Ingeniería de Tecnologías y Servicios de Telecomunicación por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
30,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28051876 ,"Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",2502145 ,Graduado o Graduada en Ingeniería del Medio Natural por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2019,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
31,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,2500793 ,Graduado o Graduada en Ingeniería del Software por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
32,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,2503028 ,Graduado o Graduada en Ingeniería del Software por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2014,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
33,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,2502402 ,Graduado o Graduada en Ingeniería Eléctrica por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,1,"Si es interuniversitario, con alguna Universidad española",1,Si es coordinadora,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
34,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026808 ,Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,2500735 ,Graduado o Graduada en Ingeniería Electrónica de Comunicaciones por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
35,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,2502403 ,Graduado o Graduada en Ingeniería Electrónica Industrial y Automática por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,1,"Si es interuniversitario, con alguna Universidad española",1,Si es coordinadora,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
36,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,2502404 ,Graduado o Graduada en Ingeniería en Diseño Industrial y Desarrollo de Producto por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
37,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026924 ,Escuela Técnica Superior de Ingenieros de Minas y Energía,2502146 ,Graduado o Graduada en Ingeniería en Tecnología Minera por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
38,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28051876 ,"Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",2503198 ,Graduado o Graduada en Ingeniería en Tecnologías Ambientales por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2015,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
39,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026912 ,Escuela Técnica Superior de Ingenieros Industriales,2501648 ,Graduado o Graduada en Ingeniería en Tecnologías Industriales por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
40,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28051876 ,"Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",2502147 ,Graduado o Graduada en Ingeniería Forestal por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2019,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
41,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026924 ,Escuela Técnica Superior de Ingenieros de Minas y Energía,2502148 ,Graduado o Graduada en Ingeniería Geológica por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,8888,1,Activo, , ,None,None, , , , , , ,240, 
42,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026811 ,"Escuela Técnica Superior de Ingenieros en Topografía, Geodesia y Cartografía",2503444 ,Graduado o Graduada en Ingeniería Geomática por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2016,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
43,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026811 ,"Escuela Técnica Superior de Ingenieros en Topografía, Geodesia y Cartografía",2502149 ,Graduado o Graduada en Ingeniería Geomática y Topografía por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,3,En proceso de extincion,1,Estudio presencial,0,No, , , , , , ,240, 
44,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28027114 ,Escuela Técnica Superior de Ingenieros Informáticos,2500397 ,Graduado o Graduada en Ingeniería Informática por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
45,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026948 ,Escuela Técnica Superior de Ingenieros Navales,2501482 ,Graduado o Graduada en Ingeniería Marítima por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2020,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
46,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,2502150 ,Graduado o Graduada en Ingeniería Mecánica por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,1,"Si es interuniversitario, con alguna Universidad española",1,Si es coordinadora,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
47,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,2501483 ,Graduado o Graduada en Ingeniería Química por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,1,"Si es interuniversitario, con alguna Universidad española",1,Si es coordinadora,1,Se imparte en el curso academico de referencia,2010,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
48,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026808 ,Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,2500737 ,Graduado o Graduada en Ingeniería Telemática por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
49,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2502151 ,Graduado o Graduada en Ingeniería y Ciencia Agronómica por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2010,3,En proceso de extincion,1,Estudio presencial,0,No, , , , , , ,240, 
